TRANDATE,PERSONID,OWNER,ROLECODE1,CNAME,CUSIP6,CUSIP2,TICKER,SHARESHELD,SHARES
1/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,175429,92
1/15/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,521455,68
1/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,19132,23
1/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,29806,46
1/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3172,23
2/20/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,521524,69
2/20/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,19223,91
2/20/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,29874,68
2/20/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3217,45
2/20/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,451,451
2/21/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,175802,68
3/7/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,522524,1000
3/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,175853,115
3/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,19345,23
3/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30098,69
3/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3300,69
3/15/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,474,23
3/19/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,,92
3/20/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,525616,3000
3/21/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,529481,3865
3/22/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,533481,4000
3/25/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,146251,1000
3/25/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,534213,732
4/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,175971,118
4/15/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,534331,118
4/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,19392,47
4/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30169,71
4/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3371,71
4/15/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,521,47
5/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,176067,96
5/15/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,534427,96
5/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,19465,73
5/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30241,72
5/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3419,48
5/15/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,545,24
6/17/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,177095,24
6/17/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,534451,24
6/17/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,19600,24
6/17/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30430,24
6/17/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3481,47
6/17/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,571,24
7/15/2019,12003824,ERNST CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,56055,672
7/15/2019,16106023,FINE MARC D,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,37760,168
7/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,177767,672
7/15/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,535123,672
7/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,20271,672
7/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30407,672
7/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,4153,672
7/15/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,1243,672
8/1/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,280996,2059
8/15/2019,12003824,ERNST CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,56221,166
8/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,178428,661
8/15/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,535784,661
8/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,20544,273
8/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30703,296
8/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,4535,382
8/15/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,1488,245
9/16/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,179730,322
9/16/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,536106,322
9/16/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,20681,25
9/16/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30894,26
9/16/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,4605,51
9/16/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,1520,26
10/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,179863,133
10/15/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,534212,106
10/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,20709,28
10/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,30947,53
10/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,4658,53
10/15/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,1547,27
11/15/2019,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,50455,551
11/15/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,179939,76
11/15/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,534288,76
11/15/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,20785,76
11/15/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,31048,101
11/15/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,4683,25
11/15/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,1597,50
11/15/2019,16326142,WAGLER TYSON J,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,1857,525
11/15/2019,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2094,551
12/16/2019,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,51194,26
12/16/2019,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,181608,48
12/16/2019,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,534336,48
12/16/2019,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,21627,24
12/16/2019,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,31227,24
12/16/2019,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,5465,48
12/16/2019,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2343,24
12/16/2019,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2839,24
1/15/2020,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,51220,26
1/15/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,181680,72
1/15/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,532384,48
1/15/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,21651,24
1/15/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,31275,48
1/15/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2367,24
1/15/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2865,26
1/17/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,5489,24
2/18/2020,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,51272,52
2/18/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,181779,99
2/18/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,532483,99
2/18/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,21750,99
2/18/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,31350,75
2/18/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,5563,74
2/18/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2441,74
2/18/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2918,53
2/24/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,281779,783
3/6/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,,1000
3/9/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,,10000
3/10/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,549984,2500
3/12/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,,2500
3/12/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,6789,1198
3/13/2020,16326142,WAGLER TYSON J,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,735,735
3/16/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,182884,101
3/16/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,565084,100
3/16/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,31589,67
3/16/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,6889,100
3/16/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2484,34
3/16/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2963,33
4/15/2020,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,51341,65
4/15/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,183046,162
4/15/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,565246,162
4/15/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,21931,64
4/15/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,31686,97
4/15/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,6986,97
4/15/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2549,65
4/15/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2997,34
5/15/2020,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,51373,32
5/15/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,183144,98
5/15/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,565312,66
5/15/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,22029,98
5/15/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,31784,98
5/15/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2614,65
5/15/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3030,33
5/19/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,7019,33
6/15/2020,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,51408,30
6/15/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,184523,178
6/15/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,565490,178
6/15/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,22199,30
6/15/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,32021,30
6/15/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,7112,59
6/15/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,2656,30
6/15/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3104,59
7/15/2020,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,52073,665
7/15/2020,16106023,FINE MARC D,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,38639,166
7/15/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,566155,665
7/15/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,22864,665
7/15/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,32686,665
7/15/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,7777,665
7/15/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3321,665
7/15/2020,16326142,WAGLER TYSON J,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3265,665
7/15/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3769,665
8/17/2020,16092371,SHEIDLER JACK,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,52423,350
8/17/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,566832,677
8/17/2020,16233091,RAMSEY CHRIS A.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,23206,342
8/17/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,33057,371
8/17/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,8317,540
8/17/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3634,313
8/17/2020,16326142,WAGLER TYSON J,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3434,169
8/17/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,4060,291
9/15/2020,16229649,SEGER THOMAS W,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,567299,467
9/15/2020,16258887,SNOWDEN RAYMOND WARD,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,33329,59
9/15/2020,16308014,BAWEL ZACHARY W.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,8414,59
9/15/2020,16312320,KELLY JASON M.,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,3710,59
9/15/2020,16326215,RYAN CHRISTINA M,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,4139,59
9/22/2020,16136345,KLEM U BUTCH,D,GERMAN AMERICAN BANCORP INC,373865,10,GABC,154384,1000
